block,street_name,lat,lng
603C,PUNGGOL RD,1.403414,103.907888
279A,SENGKANG EAST AVE,1.3858181,103.89321890174253
113,SERANGOON NTH AVE 1,1.368681,103.870466
158,SIMEI RD,1.3444606499999998,103.95983194053116
472,TAMPINES ST 44,1.35999475,103.95327969981275
102A,BIDADARI PK DR,1.3371795,103.87197217508626
114A,ALKAFF CRES,1.3356064,103.87269956057102
702,YISHUN AVE 5,1.4298243,103.82949992546128
59,NEW UPP CHANGI RD,1.3238361,103.9408703
234,BT BATOK EAST AVE 5,1.3491231,103.75549564664635
334,BT BATOK ST 32,1.364749,103.747861
147,SILAT AVE,1.2772426000000001,103.83102868753397
446,CLEMENTI AVE 3,1.3125081500000002,103.76492533725529
725,CLEMENTI WEST ST 2,1.30350575,103.76376958370054
115,ALJUNIED AVE 2,1.3213192,103.88728127480013
346,JURONG EAST ST 31,1.3453595,103.7305819
429,JURONG WEST AVE 1,1.35194115,103.72433432710099
544,JURONG WEST ST 42,1.35239785,103.7157652020253
455A,SENGKANG WEST AVE,1.3919009,103.87121438073866
253,SERANGOON CTRL DR,1.3540772,103.8708075
252,TAMPINES ST 21,1.3527558499999999,103.9488363
114B,ALKAFF CRES,1.335194,103.87258574609683
779,YISHUN AVE 2,1.422146,103.833262
155,BEDOK STH AVE 3,1.3185296000000002,103.9461110703864
153B,BEDOK STH RD,1.3191118,103.94653686706519
208,BISHAN ST 23,1.3549696999999998,103.8485442643299
311,SHUNFU RD,1.3509665,103.83938663614923
995B,BUANGKOK CRES,1.386381,103.88276
326,JURONG EAST ST 31,1.3488696,103.7296159
961,JURONG WEST ST 92,1.34138325,103.69219481963145
40,HOLLAND DR,1.3071768,103.7935066
79,DAWSON RD,1.2941583,103.8105263
109B,CANBERRA WALK,1.4480159,103.8308079
610C,TAMPINES NTH DR 1,1.364445,103.935424
110B,BIDADARI PK DR,1.33420495,103.87330311527245
118A,ALKAFF CRES,1.33674765,103.87376540925574
132,MARSILING RISE,1.43828875,103.77803117527573
769,YISHUN AVE 3,1.4246750499999998,103.83321746959533
143,BEDOK RESERVOIR RD,1.33497055,103.91276106377518
429B,BEDOK NTH RD,1.330134,103.932636
440A,BT BATOK WEST AVE 8,1.355252,103.738723
424,FAJAR RD,1.38574,103.769174
325,UBI AVE 1,1.32772,103.903839
633B,PUNGGOL DR,1.40121115,103.91339759754804
479,TAMPINES ST 44,1.36147635,103.95360275013377
482,TAMPINES ST 43,1.36152675,103.9530076
